National Observatory of Athens
Institute of Environmental Research and Sustainable Development, meteo.gr

Source: LIVE DATA
Date/Time: 2022-03-05 10:03:19 UTC

id   LG Code  Station Name                  Longitude      Latitude   Altitude(m)      Temp Out 
101  LGP7     Katovlassia                 21.92532000   38.00967000         773.0           6.7
102  LGR5     Kavodoro                    24.58724000   38.14900000         386.0          10.1
103  LGB5     Kavomalias                  23.10135800   36.47569900         161.0           ---
104  LGE3     Kea                         24.39639200   37.66568900         192.0          12.9
105  LGO5     Kerasovo                    20.89761300   40.14696100         960.0           5.4
106  LGD9     Kerkini                     23.21741600   41.13751200          50.0           6.8
107  LGJ2     Kerkyra                     19.85321100   39.64716400           5.0          10.8
108  LG42     Kilkis                      22.87888400   41.01039400         290.0           5.0
109  LGW8     Kimisi                      23.29715400   41.21420800         115.0           6.5
110  LGP9     Kleidi                      23.57160884   38.27133272         252.0          12.8
111  LGM1     Kleisoura                   21.47043000   40.53617000        1160.0          -1.2
112  LGD2     Kompoti                     21.08369680   39.10269619          75.0          10.7
114  LGV2     Kopanaki                    21.81645278   37.28774722         184.0          10.4
115  LGU2     Koronos                     25.53551000   37.11869500         540.0           ---
116  LGX1     Kos                         27.34039000   36.87723200          37.0          14.4
117  LGX8     Koufonissia                 25.59939600   36.93202500          26.0          16.1
118  LGM7     Kranidi                     23.15016200   37.38299300         110.0          15.3
119  LGX0     Kymi                        24.10014000   38.63314700         259.0          10.9
121  LGV1     Kyparissia                  21.65334167   37.23814722          36.0          12.8
123  LGA5     Lagadas                     23.08591600   40.73411800          87.0           6.7
124  LGW9     Lagadia                     22.03003800   37.68186800         970.0           5.1
125  LGP3     Lailias                     23.58858000   41.25520000        1515.0          -2.9
126  LGV9     Lamia                       22.44612600   38.90363600         107.0          10.4
127  LG92     Lappa                       21.41943900   38.09243400          15.0          11.9
128  LGL6     Larissa                     22.39883600   39.62753200          82.0           9.8
129  LGD6     Lavrio                      24.05582800   37.71120000           2.0          15.0
130  LGI7     Lefkada                     20.71175200   38.83064800          12.0          11.0
131  LGJ8     Lefkochori                  22.76927000   38.59999000         133.0          11.6
132  LGI5     Lemnos                      25.20042427   39.91273600          22.0           8.8
133  LGP0     Lentas                      24.92500000   34.93053000          15.0          15.7
134  LGI6     Lesvos                      26.17475440   39.32757780           2.0           9.5
135  LGJ3     Lesvos - Thermi             26.49911800   39.18238800           2.0           8.8
136  LGI8     Livadeia                    22.91419800   38.45389000         120.0          12.0
137  LGV4     Lykochia                    22.16653500   37.49531600         870.0           5.6
138  LGE7     Makrakomi                   22.11683800   38.93751800         125.0          10.1
139  LGH7     Makrinitsa                  22.98777800   39.40534900         850.0           5.3
140  LG45     Markopoulo                  23.93700000   37.87700000         104.0          14.9
141  LGZ4     Marmaras                    23.78071700   40.09342400           6.0           9.2
142  LGK0     Maroussi                    23.81009000   38.04829000         235.0          13.6
143  LGA6     Mavrolithari                22.30461100   38.70705800        1250.0           2.8
144  LGG5     Megalopoli                  22.14159300   37.40181600         432.0           8.9
145  LGW1     Melanes                     25.43795400   37.09009500         160.0          13.9
146  LGL2     Metaxades                   26.22177000   41.41728500         162.0           ---
147  LGD7     Metaxochori                 25.14276000   35.12906000         418.0          14.0
148  LGO8     Metsovo                     21.17697700   39.77161600        1240.0           1.4
149  LGO7     Mikrivigla                  25.37036300   37.02695700          12.0           ---
150  LGS0     Milos                       24.42690000   36.74120000         162.0          14.9
151  LGI2     Moires                      24.83458700   35.03007400          54.0          16.4
152  LGF8     Molaoi                      22.85813600   36.79956400         128.0          11.5
153  LGY5     Molyvos                     26.21941290   39.34137530         290.0           8.7
154  LG56     Monemvasia                  23.03709200   36.67579200          17.0          12.5
155  LGR2     Mornos - Dam                22.12222100   38.52306700         445.0           ---
156  LGR3     Diakopi                     22.11773000   38.59322000         666.0           8.3
157  LGR4     Koniakos                    22.17858600   38.64121300         840.0           5.7
159  LG66     Mykonos                     25.32697800   37.44724300          10.0          14.6
160  LGK8     Myriki                      21.82415000   38.89930000        1045.0           3.5
161  LG40     Naousa                      22.07014100   40.62485500         365.0           3.6
162  LGM0     Naxos                       25.37380000   37.10144000          19.0          15.7
163  LGN5     Neamakri                    23.97674100   38.05887300          90.0          14.2
164  LGR0     Nea Smyrni                  23.71941000   37.95136000          51.0          15.5
165  LGE1     Nemea                       22.65420520   37.83360070         290.0           9.9
166  LGM8     Neos Kosmos                 23.73250000   37.95900000          85.0          14.6
167  LG48     Nevrokopi                   23.87006300   41.33636100         585.0           2.7
168  LGS4     Notio Pedio                 21.83163100   40.45472500         760.0           0.4
169  LGD5     Oleni                       21.53700000   37.72500000          61.0          11.8
170  LG91     Olenia                      21.59290000   38.12068000          34.0          11.7
172  LG31     Orestiada                   26.53455800   41.48558400          22.0           9.7
173  LGG4     Orini Nafpaktia             21.93633300   38.59624100         902.0           5.2
174  LGA9     Ovria                       21.72890000   38.18810000          65.0          11.3
175  LG36     Paleochora                  23.68458900   35.23749800           5.0          16.5
176  LGV6     Panachaiko                  21.87015600   38.25350000        1588.0           0.4
177  LGK6     Papigo                      20.71974070   39.96760840         920.0           6.6
178  LGB1     Paralia                     21.69530000   38.19470000           3.0          13.1
179  LGF6     Paramythia                  20.53601140   39.49674300         650.0           7.6
180  LGW0     Paranesti                   24.49860000   41.26718000         126.0           9.3
181  LGK9     Parga                       20.40503500   39.28310600           8.0          11.7
183  LGF9     Parnassos (1950 m)          22.58968400   38.54871600        1950.0          -1.4
184  LGK3     Parnitha                    23.71847300   38.16297800        1230.0           3.9
185  LG02     Paros                       25.10666700   37.03722200           8.0          13.8
186  LGT6     Patissia                    23.72978500   38.02195300          90.0          14.6
187  LG65     Patmos                      26.54310000   37.32390000          12.0          13.3
188  LG84     Patra                       21.73521500   38.25903100           6.0          12.2
189  LGT9     Patra - Romanos             21.79183500   38.22835400         228.0          10.1
190  LGW7     Paximada                    24.37584700   37.97811700         220.0          13.3
191  LGN1     Paxoi                       20.17756400   39.20614700          80.0           ---
192  LGX9     Penteli                     23.86470000   38.04720000         495.0          11.3
193  LGU0     Peristeri                   23.70378400   38.00179500          55.0          14.6
194  LGE2     Pertouli                    21.46445000   39.53853000        1170.0           2.2
196  LGG7     Pinia                       21.56307200   37.84658400         184.0          10.7
197  LG59     Pirgos                      21.43806000   37.66944000          22.0          12.4
198  LGT2     Plakias                     24.39386900   35.19081000           5.0          15.3
200  LGY9     Plikati                     20.76900000   40.29500000        1240.0           1.9
201  LGL0     Polydroso                   22.53012000   38.63613000         350.0          10.3
202  LG33     Polygyros                   23.44407700   40.37342900         580.0           3.6
203  LGY2     Portaria                    22.99513725   39.38786976         600.0           7.6
204  LGY6     Portorafti                  24.01565800   37.88633000          11.0          15.1
205  LGP1     Pramanta                    21.09520100   39.52569300         840.0           6.1
207  LGK1     Preveza                     20.72300000   38.98300000          12.0          11.1
208  LG96     Psychico                    23.78060000   38.01760000         209.0          14.5
209  LG26     Ptolemaida                  21.67634200   40.49878600         606.0           1.5
210  LG58     Rethymno                    24.44468400   35.36902900          39.0           ---
211  LGS9     Rhodes                      28.21661400   36.42896000          95.0          13.3
212  LGH8     Rio                         21.78168600   38.30933100           2.0          11.8
213  LGO4     Rizomata                    22.23814400   40.36704900         650.0           2.9
214  LGA0     Sagaiika                    21.46960100   38.10533200          26.0          11.6
215  LGB4     Samaria - Ksiloskalo        23.91699400   35.30922500        1250.0           8.1
216  LGY1     Samaria - Gorge             23.95860000   35.28800000         349.0           ---
217  LGF1     Samos                       26.70790300   37.79507200          25.0          11.8
218  LGC1     Samothraki                  25.50109000   40.46200000          90.0           8.5
219  LGX5     Santorini                   25.43560000   36.41726000         183.0          15.4
220  LGX7     Schinoussa                  25.51913300   36.86999300          72.0           ---
221  LG87     Seli                        22.01111100   40.54111000        1510.0          -2.5
222  LGW6     Serres                      23.51705600   41.07264100          32.0           7.7
223  LG1A     Sessi                       22.62596000   38.55722000        2080.0           ---
